Kanji,Hiragana,Romanji,English
????,????,akimasu,open
?????,?????,shimarimasu,close
????,????,tsukimasu,come on
????,????,kiemasu,go off
????,?????,kowaremasu,break
????,????,waremasu,smash
????,????,oremasu,snap
????,????,yaremasu,tear
????,?????,yogoremasu,get dirty
????,????,tsukimasu,be attached
????,?????,hazuremasu,be undone
?????,?????,tomarimasu,stop
?????,??????,machigaemasu,make a mistake
?????,?????,otoshimasu,lose
?????,?????,kakarimasu,be locked
????,????,fukimasu,wipe
??????,??????,torikaemasu,change
?????,??????,katadzukemasu,tidy up
